urun_ad,adet,ortalama_fiyat
ANANAS,482,20.20746887966805
ARMUT (Deveci),437,8.181807780320366
ARMUT (Muhtelif),261,15.526819923371647
ARMUT (Santa Marina),104,24.504807692307693
ARMUT( Ankara ),1574,1.5814326556543838
ASMA YAPRAĞI,773,4.4524579560155235
AVAKADO,1606,5.1104452054794525
AYVA,1145,3.1067903930131004
BAKLA,743,1.9899730820995962
BAMYA,679,4.409366715758468
BARBUNYA,479,3.6387265135699374
BEZELYE (Araka),501,1.9141716566866267
BROKOLİ,1645,4.046306990881459
BİBER (Cin),1463,6.560338345864661
BİBER (Dolma),1752,3.777813926940639
BİBER (II),38,1.4342105263157894
BİBER (Köy),978,5.379601226993865
BİBER (Kıl),1632,5.501485906862745
BİBER (Sivri),1738,3.6090563866513232
BİBER (Çarli),1749,3.1815980560320183
BİBER Dolma (Yerli),359,1.625557103064067
BİBER Kıl (Yerli),303,2.7349834983498353
BİBER Salçalık (Kapya),1680,5.069500000000001
BİBER Sivri (Yerli),360,1.7536805555555557
BİBER Çarli (Yerli),187,1.7328877005347594
CEVİZ,474,3.472289029535865
DERE OTU (Bağ),1732,0.7935623556581987
DOMATES (II),282,6.375531914893617
DOMATES (Muhtelif),1695,2.771132743362832
DOMATES (Salkım Kutu),70,25.685714285714287
DOMATES (Salkım),1659,3.7980409885473176
DOMATES (Salçalık),410,0.9483170731707317
DOMATES (Yerli),363,1.28767217630854
DOMATES (köy),294,11.886904761904763
DOMATES (Çeri),1374,5.445287481804949
DUT,593,5.602327150084316
Domates 2,2,6.25
EKŞİ OT (Bağ),1621,1.257248611967921
ELMA (Amasya),591,3.3130710659898477
ELMA (Arjantin),105,5.292857142857143
ELMA (Golden),1139,3.1814398595259
ELMA (Granny Smith),103,18.57281553398058
ELMA (II),111,0.9743243243243244
ELMA (Muhtelif),1705,2.910791788856305
ELMA (Starking),1152,3.2359071180555556
ELMA (YERLİ) Muhtelif,3,4.0
ELMA (YEŞİL),1,5.0
ELMA (İthal),400,2.747025
ENGİNAR(Adet),504,2.7592757936507937
ERİK ( Anjelika ),149,25.92953020134228
ERİK (Can-Papaz),531,9.795075329566856
ERİK (Freze),2,17.0
ERİK (Muhtelif),1300,4.349584615384615
FASULYE (Muhtelif),1696,5.462942216981132
FASULYE (Yerli),379,2.221174142480211
FESLEĞEN(REYHAN)Bağ,1482,1.246923076923077
FINDIK TAZE,174,4.120689655172414
GREYFURT,1352,1.2867492603550295
HAVUÇ,1705,1.7933460410557185
HIRTLAK,670,2.120955223880597
HURMA ( Cennet ),607,6.09007413509061
HİNDİSTAN CEVİZİ(Adet),1685,5.4178041543026705
ISPANAK,1743,2.3333849684452095
KABAK (Bal),1076,1.2669377323420075
KABAK (Beyaz),1469,2.8411572498298163
KABAK (Kara),1611,2.5424549968963377
KABAK (Yerli),411,1.0518856447688565
KARNABAHAR,1654,2.40006045949214
KARPUZ (Muhtelif),1266,1.729881516587678
KARPUZ (İthal),24,3.797916666666667
KAVUN (Muhtelif),1214,2.986779242174629
KAVUN (İthal),22,10.534090909090908
KAYISI (Muhtelif),706,6.048902266288951
KAYISI (Yerli),37,5.195945945945946
KEREVİZ,1181,2.1128281117696868
KESTANE ,343,12.341107871720117
KIZILCIK,3,4.5
KİRAZ (Beyaz),194,1.0098969072164947
KİRAZ (Muhtelif),567,6.162389770723104
KİRAZ (Napolyon ),21,32.142857142857146
KİRAZ (Yerli),364,4.136524725274725
KİVİ,1728,6.7341869212962955
KİVİ (İthal ),45,108.33333333333333
LAHANA (Beyaz),1723,1.2735954730121881
LAHANA (Bürüksel),536,2.065438432835821
LAHANA (Mor),1725,1.6739797101449274
LİMON,705,4.619078014184397
LİMON (File ),104,9.586538461538462
LİMON (II),27,2.412962962962963
LİMON(yatak),304,9.115953947368421
MANDALİN (II),13,1.7192307692307693
MANDALİN (King),205,0.9276829268292683
MANDALİN (Muhtelif),939,2.570021299254526
MANDALİNA (satsuma),235,9.277872340425533
MANTAR (Kültür),1693,8.944624926166568
MARUL (Aysberk)Adet,1639,6.953209273947529
MARUL (Mor)Adet,1247,6.888901363271851
MARUL (Muhtelif)Adet,1481,6.0216914247130315
MARUL (Yerli)Adet,575,4.659391304347826
MAYDONOZ (Bağ),1718,0.6226833527357393
MAYDONOZ (Yerli) Bağ,415,0.6527108433734939
MISIR (Taze)Adet,555,0.838963963963964
MUZ (Yerli),1727,4.890315576143602
MUZ (İthal),1753,53.323294352538504
MUŞMULA (Döngel),251,4.867729083665338
NANE(Bağ),1732,0.8149913394919169
NAR ( Muhtelif ),360,8.280972222222223
NAR çekirdeksiz,907,2.9404355016538037
NEKTARİ,140,20.27857142857143
NOHUT (Taze),199,1.64321608040201
PANCAR (Kırmızı),527,1.5422675521821632
PATATES,1566,2.803512132822478
PATATES ( 2.),440,1.045056818181818
PATATES (taze),38,3.914473684210526
PATLICAN (Kemer),1751,2.771007995431182
PATLICAN (Topak),1521,3.128888888888889
PATLICAN (Yerli),249,1.1991967871485945
PAZI,272,0.9103860294117647
PIRASA,1293,2.064659706109822
PORTAKAL (Finike),408,3.898651960784314
PORTAKAL (II),30,0.6216666666666667
PORTAKAL (Muhtelif),1357,3.2614775239498894
PORTAKAL (Sıkmalık ),85,9.070588235294117
PORTAKAL (Washington),263,1.0074144486692014
ROKA(Bağ),1451,0.8459510682288076
SALATALIK (II),26,0.9153846153846155
SALATALIK (Kornişon),266,4.405357142857143
SALATALIK (Muhtelif),1418,2.6148977433004235
SALATALIK (Silor),1410,3.465585106382979
SALATALIK (Yerli),518,1.263996138996139
SARIMSAK (Kuru),1430,12.296083916083917
SARIMSAK (Taze),388,3.464626288659794
SEMİZ OTU(Bağ),1445,1.7826643598615917
SEMİZ OTU(Bağ) yerli,40,1.2825000000000002
SOGAN  ( Yeşil ),1270,4.6470669291338575
SOGAN (Göğer),182,5.1450549450549445
SOGAN (Kuru),1394,1.866606886657102
SOGAN (Kırmızı),936,3.590811965811966
SOĞAN (II),21,0.8309523809523811
TERE,1414,0.8836633663366337
TERMİYE,537,3.5757914338919927
TURP (  Muhtelif ),1095,1.425159817351598
TURP KIRMIZI (yerli),24,1.4791666666666667
VİŞNE,8,18.5625
VİŞNE (yerli),172,3.0569767441860463
YENİ DÜNYA (Malta),358,8.092946927374301
YER ELMASI,406,2.278694581280788
ZENCEFİL (Taze ),347,63.819884726224785
soğan yeşil (yerli),74,3.550675675675676
ÇAĞLA,104,10.170673076923077
ÇİLEK,1633,8.16428352725046
ÜZÜM (Muhtelif),1330,7.33389097744361
ÜZÜM (Siyah),519,7.263053949903661
ÜZÜM (Çekirdeksiz),618,6.964644012944984
İNCİR ( Beyaz ),522,9.184003831417625
İNCİR ( Siyah ),15,54.233333333333334
ŞEFTALİ (Muhtelif),718,5.813962395543176
ŞEFTALİ (Nektari),579,3.2191709844559586
ŞEFTALİ YERLİ,2,5.0
