urun_ad,tur,adet,ortalama_fiyat
ARMUT( Ankara ),1,5149,4.527199456205088
AVAKADO,1,10337,7.805335203637419
AYVA,1,6999,4.492434633519074
BROKOLİ,0,10613,5.983925374540658
BİBER (Cin),0,10432,9.38099597392638
BİBER (Dolma),0,10868,5.878708133971292
BİBER (Kıl),0,10856,8.49454679439941
BİBER (Sivri),0,10794,5.545877339262553
BİBER (Çarli),0,10853,4.916048558002395
BİBER Salçalık (Kapya),0,10584,7.7001936885865465
DERE OTU (Bağ),0,10794,1.198015100982027
DOMATES (Muhtelif),0,10831,4.425150032314653
DOMATES (Salkım),0,10664,5.750853338334584
DOMATES (Çeri),0,10675,7.149985948477752
EKŞİ OT (Bağ),0,10727,1.0898200801715299
ELMA (Golden),1,6274,5.718512910423971
ELMA (Muhtelif),1,10830,4.512276084949215
ELMA (Starking),1,6174,5.894104308390022
ERİK (Muhtelif),1,7329,7.524280256515213
FASULYE (Muhtelif),0,10851,8.501096673117685
FESLEĞEN(REYHAN)Bağ,0,10759,1.6910795612975185
GREYFURT,1,8084,1.8642998515586344
HAVUÇ,0,10650,2.837819248826291
HİNDİSTAN CEVİZİ(Adet),1,10854,8.188156440022112
ISPANAK,0,10825,3.531868360277136
KABAK (Bal),0,6218,1.739429880990672
KABAK (Beyaz),0,10672,3.862589017991005
KABAK (Kara),0,10618,3.8369419853079676
KARNABAHAR,0,10441,3.6728474284072403
KARPUZ (Muhtelif),1,7309,2.8312614584758515
KAVUN (Muhtelif),1,8261,4.116360004842029
KEREVİZ,0,6803,2.734966191386153
KİVİ,1,10750,9.524767441860465
LAHANA (Beyaz),0,10674,1.9043189057522953
LAHANA (Mor),0,10714,2.5734226246033227
MANTAR (Kültür),0,10864,13.561524300441826
MARUL (Aysberk)Adet,0,10853,7.289648023587948
MARUL (Mor)Adet,0,10175,7.239641277641279
MARUL (Muhtelif)Adet,0,10595,6.3412128362435105
MAYDONOZ (Bağ),0,10716,0.9836795446061964
MUZ (Yerli),1,10820,7.296612754158965
MUZ (İthal),1,10892,62.55116140286449
NANE(Bağ),0,10786,1.2119066382347488
PATATES,0,10995,3.1304183719872665
PATLICAN (Kemer),0,10888,4.324164217487142
PATLICAN (Topak),0,10876,4.458635987495403
PIRASA,0,8467,3.047516830046061
PORTAKAL (Muhtelif),1,10383,4.322729461619955
ROKA(Bağ),0,10785,1.1222577654149282
SALATALIK (Muhtelif),0,10797,3.6166411966286933
SALATALIK (Silor),0,10807,4.67014666419913
SARIMSAK (Kuru),0,10744,16.231082464631424
SEMİZ OTU(Bağ),0,10823,2.0622239674766702
SOGAN  ( Yeşil ),0,10098,6.073569023569024
SOGAN (Kuru),0,10609,2.549005561315864
TERE,0,10823,1.1266746743047213
TURP (  Muhtelif ),0,8610,1.8403455284552845
ÇİLEK,1,10505,12.774714421703951
ÜZÜM (Muhtelif),1,10223,10.248743030421597
